implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file,win_size,comparison
baseline,adult_model_10,0.0551,0.0581,delta,0.7983452535050423,0.048952741040021445,0.08011264847295578,0.11177554684622024,0.24361162112060775,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-14-15-20-26-34-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.801253950186919,0.07372186351948277,0.1045525362796954,0.10064546119417275,0.22036189530105119,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-14-15-20-26-34-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7863488293684121,0.07444172523150973,0.0896734288448062,-0.004711408455081013,-0.010551747676170243,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-14-15-20-26-34-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7991665938291874,0.03701021178009954,0.10436864181107935,-0.044889524824574756,-0.039946877396088896,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-20-26-34-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.8013366102826208,0.04400137062329087,0.13540694237324963,-0.10861996750134541,-0.03931961163336153,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-20-26-34-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.8123213406751252,0.10130519484267725,0.10882883586731834,-0.006887428045116163,-0.008652842414670531,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-20-26-34-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7959169175841665,0.01951802404996371,0.035677766738090255,0.07717271043767139,0.16802586755253437,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-5-15-50-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.8016191269182269,0.026067040634694796,0.07700488708217972,0.08790950926844118,0.15488689101410258,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-5-15-50-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7899079340173649,0.12448407156378122,0.07713209449226562,-0.011860663677734275,-0.006484220911716825,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-5-15-50-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7650815385824027,0.04984876212136012,0.07405176857991873,0.05435611620041467,0.18504506048938577,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-26-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.7674467522780145,0.07441140917370001,0.09989956809410963,0.06707383749828878,0.15939909095903632,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-26-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7710948930632998,0.12400536075728315,0.1223998303166385,-0.003817643360468583,-0.012433244037116547,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-26-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7273391154486525,0.0,0.0,0.06558722025021599,0.09985504439516421,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-57-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.7298002609636027,0.008130749586956964,0.016968882449526018,0.07255774435239762,0.07187726284760129,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-57-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7487076075787894,0.08405163536561931,0.08980989613110471,0.010722204608083836,0.0056690282639063165,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-57-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7265130702875344,0.0,0.0,0.066834808275404,0.11099777928461024,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-77-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.7307591017775193,0.03789622602645603,0.0319621982924959,0.07121336580372957,0.08277315284002014,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-77-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7466238135937495,0.11646252816620312,0.09755659329201316,-0.005849906271564347,-0.0032937294112438493,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-77-87-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.8380040387971825,0.1847956868027703,0.1979419511248273,0.22154713876851223,0.17265635644058086,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-15-26-78-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.8325393761443107,0.087539406594138,0.15748601087562653,0.13962144272286833,0.15556607789809107,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-15-26-78-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7950003205966043,0.07359140705445798,0.10249807860837186,0.005662473333232924,0.011188483907837249,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-15-26-78-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0581,0.0615,delta,0.8964672939559754,0.30605528973053703,0.3416874983301728,0.5341084107214387,0.4955252738293778,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-34-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0581,0.0615,tstat,0.8929031907566229,0.2560266180339141,0.30273816875433784,0.41334583164771427,0.481664846316144,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-34-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0581,0.0615,random,0.7961312917697337,0.08036132115049704,0.10434046763416341,-0.0029671494023628857,0.0038833361294038707,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-34-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0581,0.0615,delta,0.8562245646420045,0.23018544395995427,0.24207516081532404,0.3436452261380846,0.057050834547176604,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-50-89.pkl,5,first_vs_last
